6.17817421e-01	1.29189575e+00	6.08989862e-01	
7.67881629e-01	1.45455622e+00	8.92245112e-01	
9.91101955e-01	1.26830756e+00	1.18049349e+00	
1.14673924e+00	1.58571827e+00	1.48421316e+00	
1.33167703e+00	1.66973229e+00	1.76719461e+00	
1.47389577e+00	1.62901689e+00	2.01009033e+00	
1.61965467e+00	1.59980469e+00	2.23980276e+00	
1.76111375e+00	1.81664008e+00	2.44036682e+00	
1.88951031e+00	1.86767492e+00	2.59781445e+00	
2.02648715e+00	1.79277875e+00	2.73852821e+00	
2.17457302e+00	1.85365346e+00	2.85381617e+00	
2.29702167e+00	1.81929352e+00	2.94980246e+00	

